Method,Area Size,Number of Drones,Number of Users,Coverage,Average Signal Strength,Average Energy Consumption,Execution Time (s)
Random,100,30,150,78,-39.85207921601507,100.0,0.0
Grid,100,30,150,149,inf,100.0,0.0
Greedy,100,30,150,150,inf,100.0,0.19873523712158203
PSO,100,30,150,31,-38.29287597598909,100.0,1.2195630073547363
DFO,100,30,150,78,-39.85207921601507,100.0,17.073133945465088
Random,100,40,50,39,-37.5698287667221,100.0,0.0010156631469726562
Grid,100,40,50,50,inf,100.0,0.0
Greedy,100,40,50,50,-36.540137080747954,100.0,0.04740309715270996
PSO,100,40,50,15,-32.8730412365506,100.0,0.6636128425598145
DFO,100,40,50,39,-37.5698287667221,100.0,8.550885200500488
Random,100,40,100,61,-40.24827895137375,100.0,0.0
Grid,100,40,100,100,inf,100.0,0.0
Greedy,100,40,100,100,-36.78548508982555,100.0,0.0951235294342041
PSO,100,40,100,21,-35.55406677939457,100.0,1.3210563659667969
DFO,100,40,100,61,-40.24827895137375,100.0,20.486178159713745
Random,100,40,150,85,-40.17018378629498,100.0,0.0
Grid,100,40,150,150,inf,100.0,0.0
Greedy,100,40,150,150,inf,100.0,0.14465665817260742
PSO,100,40,150,37,-34.424903037640235,100.0,1.8595240116119385
DFO,100,40,150,85,-40.17018378629498,100.0,31.9506254196167
Random,100,50,50,29,-40.357626164951625,100.0,0.0
Grid,100,50,50,50,inf,100.0,0.0010497570037841797
Greedy,100,50,50,50,-34.83063425446794,100.0,0.06984353065490723
PSO,100,50,50,12,-39.2225319605777,100.0,0.8097622394561768
DFO,100,50,50,29,-40.357626164951625,100.0,16.49785351753235
Random,100,50,100,77,-36.78406916639338,100.0,0.0
Grid,100,50,100,100,inf,100.0,0.0010137557983398438
Greedy,100,50,100,100,-37.320248859456505,100.0,0.09606099128723145
PSO,100,50,100,18,-39.28636831742833,100.0,2.480410575866699
DFO,100,50,100,77,-36.78406916639338,100.0,30.587097644805908
Random,100,50,150,111,-36.41341945634453,100.0,0.0
Grid,100,50,150,150,inf,100.0,0.0
Greedy,100,50,150,150,-36.42164097926679,100.0,0.15929555892944336
PSO,100,50,150,30,-40.184218786932995,100.0,2.7301697731018066
DFO,100,50,150,111,-36.41341945634453,100.0,51.324567556381226
Random,100,60,50,31,-39.83632569006357,100.0,0.0
Grid,100,60,50,50,inf,100.0,0.0
Greedy,100,60,50,50,inf,100.0,0.06104254722595215
PSO,100,60,50,15,-35.79914708072713,100.0,1.1882884502410889
DFO,100,60,50,31,-39.83632569006357,100.0,20.70365881919861
Random,100,60,100,70,-38.28765190285138,100.0,0.0
Grid,100,60,100,100,inf,100.0,0.0
Greedy,100,60,100,100,inf,100.0,0.14620542526245117
PSO,100,60,100,33,-38.07541879760726,100.0,1.9463632106781006
DFO,100,60,100,70,-38.28765190285138,100.0,37.3673255443573
Random,100,60,150,128,-38.061156101044396,100.0,0.0
Grid,100,60,150,150,inf,100.0,0.0
Greedy,100,60,150,150,inf,100.0,0.15031027793884277
PSO,100,60,150,59,-37.33901225353447,100.0,2.785676956176758
DFO,100,60,150,128,-38.061156101044396,100.0,41.62938666343689
